,Date of Birth,Information Source,Latitude,Longitude,Name,Place of Birth,Segment,Time Zone,Time of Birth
1417,"Tuesday, June 29, 1886",Unknown,29 N 36,79 E 40,William M. Davidson,"0 E 10, 51 N 29",astrologer,0.0,14:05:00
1418,"Wednesday, June 28, 1933",Kundli Sangraha (Tendulkar),51 N 15,0 E 23,Krishna Kumar Pathak,Chapra,astrologer,5.5,09:05:00
1419,"Wednesday, June 25, 1913",Internet,18 N 38,72 E 55,Katherine De Jersey,"87 W 39, 41 N 52",astrologer,-6.0,01:07:00
1420,"Friday, June 25, 1937",Internet,53 N 25,2 W 54,Roger Elliot,"3 W 29, 50 N 28",astrologer,0.0,03:14:59
1421,"Wednesday, June 24, 1931",The Times Select Horoscopes,53 N 32,10 E 0,Bhaskaranand Lohani,Almora,astrologer,5.5,15:45:00
1422,"Saturday, June 22, 1940",Unknown,42 N 39,73 W 45,Charles Harvey,"0 E 23, 51 N 15",astrologer,0.0,09:16:00
1423,"Monday, June 21, 1926",Kundli Sangraha (Tendulkar),46 N 29,63 W 42,Mahadev Damodar Bhat,Alibag,astrologer,5.5,20:20:00
1424,"Monday, June 15, 1795",Unknown,40 N 42,74 W 0,Richard James Morrison,"2 W 54, 53 N 25",astrologer,-0.25,09:44:59
1425,"Monday, June 12, 1922",Unknown,42 N 18,83 W 1,Hans J. Andersen,"10 E 0, 53 N 32",astrologer,1.0,21:14:59
1426,"Sunday, June 08, 1902",Unknown,39 N 39,78 W 45,Grant Lewi,"73 W 45, 42 N 39",astrologer,-5.0,08:30:00
1427,"Wednesday, June 06, 1906",Unknown,24 N 55,84 E 11,Robert A. Hughes,"63 W 42, 46 N 29",astrologer,-4.0,01:00:00
1428,"Thursday, June 05, 1941",Unknown,42 N 21,71 W 6,Jim Lewis,"74 W 0, 40 N 42",astrologer,-5.0,09:30:00
1429,"Sunday, June 04, 1893",Unknown,13 N 39,79 E 25,Ernest A. Grant,"83 W 1, 42 N 18",astrologer,-6.0,18:28:00
1430,"Tuesday, May 30, 1944",Unknown,53 N 47,1 W 44,Ellen Black,"78 W 45, 39 N 39",astrologer,-5.0,12:43:59
1431,"Monday, May 30, 1949",Kundli Sangraha (Tendulkar),40 N 21,97 W 34,Suresh Shahasane,Dehri,astrologer,5.5,17:25:00
1432,"Tuesday, May 24, 1932",Web,40 N 42,74 W 4,Emma Belle Donath,Evansville IN,astrologer,-6.0,05:13:00
1433,"Tuesday, May 22, 1928",Internet,36 N 2,114 W 59,Marcia Moore,"71 W 6, 42 N 21",astrologer,-5.0,09:09:59
1434,"Sunday, May 21, 1944",The Times Select Horoscopes,52 N 48,1 W 19,R Santhanam,Tirupati,astrologer,5.5,20:20:00
1435,"Wednesday, May 20, 1953",Unknown,40 N 46,74 W 0,Pat Harris,"1 W 44, 53 N 47",astrologer,0.0,11:58:00
1436,"Thursday, May 17, 1951",Web,44 N 39,63 W 35,Gary Christen,Jersey City,astrologer,-4.0,09:08:00
1437,"Monday, May 16, 1955",Web,26 N 53,75 E 50,John Frawley,London,astrologer,1.0,00:40:00
1438,"Saturday, May 16, 1925",Internet,26 N 18,73 E 8,Garth Allen,"97 W 34, 40 N 21",astrologer,-6.0,02:04:00
1439,"Friday, May 15, 1942",Internet,36 N 0,95 W 0,Larry Pines,"74 W 4, 40 N 42",astrologer,-5.0,05:54:59
1440,"Friday, May 07, 1948",Unknown,39 N 0,89 W 31,Robert Cole,"114 W 59, 36 N 2",astrologer,-8.0,05:17:59
1441,"Wednesday, May 01, 1602",Kundli Sangraha (Tendulkar),41 N 36,93 W 37,William Lilly,Diseworth,astrologer,1.0,02:04:00
1442,"Monday, April 25, 1949",Internet,16 N 20,74 E 32,Bill Meridian,"74 W 0, 40 N 46",astrologer,-5.0,00:27:00
1443,"Monday, April 23, 1883",Unknown,39 N 36,79 W 56,C.e. Mitchell,"63 W 35, 44 N 39",astrologer,-4.25,18:02:13
1444,"Monday, April 22, 1935",Lagna Phal (Garg),47 N 2,122 W 53,Narayan Dutt Shrimali,Rajasthan,astrologer,5.5,10:00:00
1445,"Sunday, April 21, 1935",Kundli Sangraha (Tendulkar),37 N 15,107 W 51,Shrimali Narayan Dutt,Khartiya,astrologer,5.5,10:27:00
1446,"Tuesday, April 20, 1926",Internet,41 N 53,87 W 46,Press Roberts,"95 W 0, 36 N 0",astrologer,-6.0,09:44:59
1447,"Friday, April 14, 1911",Internet,48 N 52,2 E 20,Kathryn Lewis,"89 W 31, 39 N 0",astrologer,-6.0,06:12:00
1448,"Sunday, April 13, 1947",Web,38 N 50,104 W 48,Richard Houck,Des moines,astrologer,-6.0,00:51:00
1449,"Monday, April 11, 1938",Kundli Sangraha (Tendulkar),51 N 16,0 E 28,Jyotindra Hasbe,Sankeshwar,astrologer,5.5,04:30:00
1450,"Friday, April 10, 1925",Internet,51 N 27,2 W 35,Linda Goodman,"79 W 56, 39 N 36",astrologer,-5.0,13:56:00
1451,"Monday, April 03, 1939",Internet,40 N 42,73 W 50,Lee Williams,"122 W 53, 47 N 2",astrologer,-8.0,00:41:00
1452,"Friday, April 03, 1942",Internet,29 N 58,77 E 33,Michael Elliott,"107 W 51, 37 N 15",astrologer,-7.0,15:07:00
1453,"Tuesday, March 30, 1954",Internet,49 N 1,12 E 7,Stephen Paul Connors,"87 W 46, 41 N 53",astrologer,-6.0,04:09:59
1454,"Saturday, March 23, 1895",Web,39 N 57,75 W 10,Dane Rudhyar,Paris,astrologer,1.0,00:42:00
1455,"Thursday, March 21, 1901",Internet,43 N 12,70 W 53,Gavin Arthur,"104 W 48, 38 N 50",astrologer,-7.0,09:50:00
1456,"Sunday, March 20, 1864",Kundli Sangraha (Tendulkar),51 N 29,0 E 10,Sepharial,Handasvarth,astrologer,1.0,02:00:00
1457,"Thursday, March 19, 1795",Internet,51 N 45,0 E 40,Raphael I,"2 W 35, 51 N 27",astrologer,-0.25,09:07:00
1458,"Friday, March 10, 1950",Internet,40 N 45,73 W 48,Mark Lerner,"73 W 50, 40 N 42",astrologer,-5.0,05:04:59
1459,"Wednesday, March 10, 1920",Kundli Sangraha (Tendulkar),49 N 15,123 W 6,Manik Chand Jain,Saharanpur,astrologer,5.5,04:35:00
1460,"Tuesday, March 07, 1950",Web,51 N 29,0 E 10,Alois Treindl,Regensburg,astrologer,1.0,09:15:00
1461,"Tuesday, March 03, 1953",Web,18 N 17,83 E 54,Adze Mixxe,Philadelphia PA,astrologer,-5.0,08:10:00
1462,"Monday, February 28, 1927",Web,51 N 9,14 E 59,Robert Pelletier,Dover NH,astrologer,-5.0,23:20:00
1463,"Tuesday, February 25, 1919",Internet,52 N 27,2 W 9,A.nelson Page,"0 E 10, 51 N 29",astrologer,0.0,11:27:59
1464,"Monday, February 22, 1904",Internet,25 N 57,81 E 50,Martin Harvey,"0 E 40, 51 N 45",astrologer,0.0,13:40:00
1465,"Tuesday, February 22, 1949",Internet,43 N 25,83 W 57,Douglas Block,"73 W 48, 40 N 45",astrologer,-5.0,10:53:59
1466,"Sunday, November 09, 1947",Internet,25 N 57,81 E 50,Erin Sullivan,"123 W 6, 49 N 15",astrologer,-8.0,07:20:59
1467,"Sunday, December 31, 1922",Internet,21 N 29,77 E 21,Dr.douglas M. Baker,"0 E 10, 51 N 29",astrologer,0.0,23:55:00
1468,"Tuesday, February 12, 1856",Internet,45 N 32,122 W 40,Bangalore S. Rao,"83 E 54, 18 N 17",astrologer,5.75,12:09:22
1469,"Saturday, February 16, 1901",Web,40 N 38,73 W 56,Reinhold Ebertin,Grlitz,astrologer,1.0,04:45:00
1470,"Sunday, February 16, 1930",Web,37 N 14,96 W 59,Dennis Elwell,Stourbridge,astrologer,-1.0,23:44:00
1471,"Saturday, November 07, 1959",The Times Select Horoscopes,48 N 25,122 W 20,Sheel K. Mishra,Allahabad,astrologer,5.5,20:25:00
1472,"Sunday, February 14, 1943",Web,40 N 50,73 W 54,Barbara Hand Clow,Saginaw MI,astrologer,-4.0,19:22:00
1473,"Thursday, January 13, 1949",The Times Select Horoscopes,44 N 56,93 W 4,Radheshyam Shastri,Allahabad,astrologer,5.5,11:06:00
1474,"Sunday, February 12, 1956",Kundli Sangraha (Tendulkar),51 N 32,0 E 27,B Suryanarayana Rao,Chikakol,astrologer,5.5,12:21:00
1475,"Thursday, October 08, 1914",Internet,42 N 10,92 W 1,Mary W. Boyd,"122 W 40, 45 N 32",astrologer,-8.0,14:19:59
1476,"Friday, November 28, 1873",Internet,40 N 25,86 W 51,Mary Adams Lloyd,"73 W 56, 40 N 38",astrologer,-5.0,18:14:59
1477,"Thursday, February 07, 1889",Internet,40 N 50,91 W 50,Margaret M. Gilbert,"96 W 59, 37 N 14",astrologer,-6.0,07:00:00
1478,"Monday, February 08, 1937",Internet,36 N 45,90 W 24,Marc Robertson,"122 W 20, 48 N 25",astrologer,-8.0,05:48:00
1479,"Sunday, November 24, 1946",Internet,42 N 21,71 W 7,Howard Sheldon,"73 W 54, 40 N 50",astrologer,-5.0,02:31:00
1480,"Tuesday, February 07, 1928",Internet,45 N 2,73 W 55,Maya Del Mar,"93 W 4, 44 N 56",astrologer,-6.0,17:03:59
1481,"Monday, February 05, 1951",Internet,32 N 43,97 W 6,Russell Grant,"0 E 27, 51 N 32",astrologer,0.0,21:44:59
1482,"Tuesday, February 04, 1936",Internet,52 N 25,1 W 56,Diana Stone,"92 W 1, 42 N 10",astrologer,-6.0,07:09:59
1483,"Wednesday, February 02, 1938",Internet,37 S 49,144 E 58,John Robert Hawkins,"86 W 51, 40 N 25",astrologer,-6.0,12:27:59
1484,"Thursday, February 01, 1917",Internet,51 N 22,2 W 8,James S. Garrett,"91 W 50, 40 N 50",astrologer,-6.0,14:38:00
1485,"Tuesday, February 01, 1949",Web,25 N 29,74 E 38,Jayj Jacobs,Poplar Bluff,astrologer,-6.0,03:54:00
1486,"Thursday, December 23, 1954",Internet,41 N 20,89 W 6,Joseph Crane,"71 W 7, 42 N 21",astrologer,-5.0,00:20:00
1487,"Monday, January 30, 1882",Web,40 N 47,81 W 23,Lorne Johndro,Franklin Center,astrologer,-4.0,00:30:00
1488,"Saturday, December 16, 1922",Internet,38 N 35,82 W 50,Betty Collins,"97 W 6, 32 N 43",astrologer,-6.0,14:02:59
1489,"Tuesday, January 19, 1943",Unknown,40 N 38,73 W 56,Pamela Crane,"1 W 56, 52 N 25",astrologer,0.0,22:17:59
1490,"Sunday, July 07, 1946",Unknown,10 N 53,79 E 6,Anne Elliott,"144 E 58, 37 S 49",astrologer,10.0,07:00:00
1491,"Tuesday, December 22, 1896",Unknown,16 N 42,72 E 48,George H. Bailey,"2 W 8, 51 N 22",astrologer,0.0,18:19:59
1492,"Sunday, December 11, 1910",Kundli Sangraha (Tendulkar),13 N 0,77 E 35,Gopesh Kumar Ojha,Mandal,astrologer,5.5,22:38:00
1493,"Sunday, December 08, 1907",Unknown,41 N 50,87 W 39,P.m. Chancellor,"89 W 6, 41 N 20",astrologer,-6.0,04:00:00
1494,"Wednesday, May 19, 1926",Unknown,38 N 59,77 W 6,H.douglas Miller,"81 W 23, 40 N 47",astrologer,-6.0,09:44:59
1495,"Tuesday, April 07, 1896",Unknown,50 N 25,104 W 39,Catherine Grant,"82 W 50, 38 N 35",astrologer,-6.0,17:12:00
1496,"Tuesday, March 10, 1942",Unknown,37 S 28,72 W 23,Kelly Quinn,"73 W 56, 40 N 38",astrologer,-5.0,08:30:00
1497,"Sunday, November 01, 1908",Kundli Sangraha (Tendulkar),40 N 42,74 W 0,K S Krishnamurti,Shiruvaiyuru,astrologer,5.5,12:10:00
1498,"Sunday, May 26, 1968",Kundli Sangraha (Tendulkar),10 N 40,61 W 31,Vishnu Gopal Navathe,Alibagajbal,astrologer,5.5,00:00:00
1499,"Monday, October 24, 1949",Kundli Sangraha (Tendulkar),51 N 30,0 W 5,Gayatri Devi Vasudev,Bangalore,astrologer,5.5,15:33:00
1500,"Wednesday, November 08, 1944",Unknown,33 S 53,151 E 10,Angel Thompson,"87 W 39, 41 N 50",astrologer,-6.0,08:30:00
1501,"Thursday, July 21, 1949",Unknown,44 N 38,63 W 35,Moon Moore,"77 W 6, 38 N 59",astrologer,-5.0,22:01:59
1502,"Friday, July 07, 1950",Unknown,39 N 48,89 W 38,Drew Lawrence,"104 W 39, 50 N 25",astrologer,-7.0,00:15:00
1503,"Saturday, February 10, 1923",Web,41 N 18,72 W 55,Marion March,Nurnberg,astrologer,1.0,03:46:00
1504,"Tuesday, December 18, 2001",Internet,40 N 42,74 W 0,Billie Eilish,Los Angeles,astrologer,-4.0,11:30:00
1505,"Friday, August 29, 1986",Dirty Data,34 N 8,87 W 15,Lea Michele,New york,astrologer,-5.0,12:00:00
1506,"Wednesday, December 8, 1982",Dirty Data,40 N 50,74 E 6,Nicki Minaj,Port of Spain,astrologer,-4.0,12:00:00
1507,"Tuesday, August 22, 1995",Internet,34 N 8,87 W 15,Dua Lipa,London,astrologer,0.0,11:45:00
1508,"Thursday, June 7, 1990",Dirty Data,40 N 42,74 W 0,Iggy Azalea,Sydney,astrologer,7.0,12:00:00
1509,"Sunday, February 17, 1991",Dirty Data,34 N 0,118 W 15,Ed Sheeran,Halifax,astrologer,-5.0,12:00:00
1510,"Thursday, December 28, 1978",Internet,40 N 42,74 W 0,John Legend,Springfield,singer,-5.0,08:25:00
1511,"Monday, February 20, 1978",Dirty Data,35 N 7,117 W 59,Lauren Ambrose,New haven,singer,-5.0,12:00:00
1512,"Tuesday, January 10, 1967",Dirty Data,13 N 5,80 E 18,Trini Alvarado,New york,singer,-5.0,12:00:00
1513,"Wednesday, May 13, 1987",Dirty Data,10 N 49,78 E 41,Candice King,Houston,singer,-5.0,12:00:00
1514,"Friday, January 25, 1929",Dirty Data,9 N 55,78 E 7,Elizabeth Allen,New Jersey,singer,-5.0,12:00:00
1515,"Monday, January 16, 1950",Internet,13 N 5,80 E 18,Debbie Allen,Houston,singer,-5.0,21:45:00
1516,"Tuesday, May 1, 1945",Dirty Data,25 N 32,90 E 14,Diahnne Abbott,New york,singer,-5.0,12:00:00
1517,"Thursday, December 7, 1978",Dirty Data,26 N 12,78 E 9,Shiri Appleby,Los angeles,singer,-5.0,12:00:00
1518,"Wednesday, January 24, 1979",Dirty Data,18 N 58,72 E 50,Tatyana Ali,New york,singer,-5.0,12:00:00
1519,"Thursday, October 12, 1950",Dirty Data,36 S 52,174 E 46,Susan Anton,California,singer,-5.0,12:00:00
1520,"Monday, April 30, 1979",Dirty Data,9 N 58,76 E 14,Harini,Chennai,singer,5.5,12:00:00
1521,"Thursday, July 24, 1975",Dirty Data,30 N 43,76 E 47,Vijay Antony,Tiruchchirappalli,singer,5.5,12:00:00
1522,"Saturday, September 28, 1974",Dirty Data,30 N 37,76 E 14,Mahalingam Sasikumar,Madurai,singer,5.5,12:00:00
1523,"Monday, December 20, 1976",Dirty Data,24 N 47,87 E 44,Yugendran,Chennai,singer,5.5,12:00:00
1524,"Saturday, November 18, 1972",Dirty Data,30 N 42,76 E 16,Zubeen Garg,Tura,singer,5.5,12:00:00
1525,"Sunday, January 13, 1963",Dirty Data,30 N 43,76 E 47,Piyush Mishra,Gwalior,singer,5.5,12:00:00
1526,"Friday, September 19, 1958",Dirty Data,31 N 20,75 E 26,Lucky Ali,Mumbai,singer,5.5,12:00:00
1527,"Thursday, November 7, 1996",Internet,30 N 19,76 E 24,Lorde,Auckland,singer,12.0,10:00:00
1528,"Monday, July 28, 1986",Dirty Data,30 N 43,76 E 47,Dulquer Salmaan,Cochin,singer,5.5,12:00:00
1529,"Friday, June 21, 1963",Dirty Data,30 N 19,76 E 24,Vivek Shauq,Chandigarh,singer,5.5,12:00:00
1530,"Friday, July 4, 1986",Dirty Data,31 N 19,75 E 34,Tarsem Jassar,Amloh,singer,5.5,12:00:00
1531,"Tuesday, April 1, 1975",Dirty Data,31 N 30,75 E 59,Jazzy B,Durgapur,singer,5.5,12:00:00
1532,"Saturday, November 26, 1988",Dirty Data,31 N 35,74 E 56,Jassi Gill,Khanna,singer,5.5,12:00:00
1533,"Saturday, June 25, 1988",Dirty Data,31 N 35,74 E 56,Jass Bajwa,Chandigarh,singer,5.5,12:00:00
1534,"Tuesday, April 1, 1975",Dirty Data,30 N 56,75 E 52,Jaggi Singh,Kapurthala,singer,5.5,12:00:00
1535,"Saturday, September 6, 1986",Dirty Data,31 N 19,75 E 34,Hardy Sandhu,Patiala,singer,5.5,12:00:00
1536,"Monday, January 16, 1984",Dirty Data,30 N 43,76 E 47,Khushboo Grewal,Chandigarh,singer,5.5,12:00:00
1537,"Tuesday, July 3, 1990",Dirty Data,31 N 6,75 E 31,Parmish Verma,Patiala,singer,5.5,12:00:00
1538,"Friday, June 14, 1968",Dirty Data,30 N 7,78 E 16,Sarbjit Cheema,Jalandhar *,singer,5.5,12:00:00
1539,"Tuesday, August 31, 1982",Dirty Data,31 N 19,75 E 34,Satinder Sartaaj,Hoshiarpur,singer,5.5,12:00:00
1540,"Thursday, August 24, 1989",Dirty Data,26 N 50,80 E 54,Gurshabad Singh,Amritsar,singer,5.5,12:00:00
1541,"Wednesday, January 27, 1993",Internet,31 N 12,76 E 11,Shehnaaz Kaur Gill,Amritsar,singer,5.5,05:30:00
1542,"Monday, September 15, 1975",Dirty Data,32 N 4,75 E 28,Inderjit Nikku,Ludhiana,singer,5.5,12:00:00
1543,"Saturday, June 13, 1987",Dirty Data,32 N 4,75 E 28,Yuvraj Hans,Jalandhar *,singer,5.5,12:00:00
1544,"Friday, February 7, 1986",Dirty Data,28 N 36,77 E 12,B Praak,Chandigarh,singer,5.5,12:00:00
1545,"Sunday, May 7, 1972",Dirty Data,30 N 22,76 E 12,Kanth Kaler,Nakodar,singer,5.5,12:00:00
1546,"Monday, June 6, 1988",Internet,32 N 4,75 E 28,Neha Kakkar,Rishikesh,singer,5.5,05:30:00
1547,"Tuesday, September 4, 1990",Dirty Data,30 N 10,74 E 58,Jasmine Sandlas,Jalandhar *,singer,5.5,12:00:00
1548,"Saturday, September 12, 1981",Dirty Data,31 N 35,74 E 56,Roshan Prince,Lucknow,singer,5.5,12:00:00
1549,"Sunday, February 18, 1990",Dirty Data,30 N 56,75 E 52,Sukh-e,Garhshankar,singer,5.5,12:00:00
1550,"Saturday, August 8, 1992",Dirty Data,35 N 7,117 W 59,Nimrat Khaira,Gurdaspur,singer,5.5,12:00:00
1551,"Tuesday, March 14, 1989",,40 N 42,74 W 0,Ranjit Bawa,Gurdaspur,singer,5.5,12:00:00
1552,"Tuesday, November 19, 1985",Dirty Data,40 N 42,74 W 0,Badshah,New Delhi,singer,5.5,12:00:00
1553,"Monday, May 11, 1992",Dirty Data,40 N 42,74 W 0,Ammy Virk,Nabha,singer,5.5,12:00:00
1554,"Friday, August 30, 1991",Dirty Data,18 N 34,73 E 58,Guru Randhawa,Gurdaspur,singer,5.5,12:00:00
1555,"Friday, December 31, 1965",Dirty Data,18 N 34,73 E 58,Harbhajan Maan,Bhatinda,singer,5.5,12:00:00
1556,"Tuesday, May 11, 1976",Dirty Data,18 N 58,72 E 50,Amrinder Gill,Amritsar,singer,5.5,12:00:00
1557,"Sunday, January 2, 1983",Dirty Data,13 N 5,80 E 18,Gippy Grewal,Ludhiana,singer,5.5,12:00:00
1558,"Sunday, October 18, 1987",Internet,11 N 0,76 E 58,Zac Efron,California,singer,-5.0,13:22:00
1559,"Monday, October 24, 1983",Internet,13 N 5,80 E 18,Adrienne Bailon,New york,singer,-5.0,12:10:00
1560,"Saturday, February 28, 1948",Internet,13 N 5,80 E 18,Bernadette Peters,New york,singer,-5.0,22:45:00
1561,"Sunday, April 10, 1949",Dirty Data,13 N 5,80 E 18,Loni Ackerman,New york,singer,-5.0,12:00:00
1562,"Saturday, August 21, 1976",Dirty Data,23 S 32,46 W 37,Ajay Gogavale,Pune,singer,5.5,12:00:00
1563,"Monday, January 4, 1982",Internet,6 S 9,106 E 49,Bela Shende,Pune,singer,5.5,07:15:00
1564,"Sunday, November 10, 1974",Dirty Data,37 N 34,91 W 41,Ganesh Hegde,Bombay,singer,5.5,12:00:00
1565,"Friday, August 31, 1979",Dirty Data,36 N 50,76 W 17,Yuvan Shankar Raja,Chennai,singer,5.5,12:00:00
1566,"Tuesday, February 20, 1990",Dirty Data,14 N 49,75 E 14,Aadhi Hiphop Tamizha,Coimbatore,singer,5.5,12:00:00
1567,"Monday, January 24, 1983",,30 N 30,74 E 34,D. Imman,Chennai,singer,5.5,12:00:00
1568,"Saturday, June 13, 1987",Dirty Data,28 N 39,77 E 13,G.v. Prakash,Chennai,singer,5.5,12:00:00
1569,"Tuesday, October 16, 1990",Dirty Data,26 N 30,88 E 50,Anirudh Ravichander,Chennai,singer,5.5,12:00:00
1570,"Wednesday, May 22, 1991",Internet,29 N 23,79 E 27,Sophia Abrahao,Sao Paulo,singer,-3.0,21:15:00
1571,"Monday, July 12, 1993",Internet,21 N 43,70 E 42,Cantika Abigail,Jakarta,singer,7.0,11:30:00
1572,"Sunday, July 20, 1980",Internet,27 N 4,79 E 55,Josh Abbott,Texas,singer,-5.0,20:51:00
1573,"Tuesday, June 4, 1991",Internet,27 N 32,68 E 2,Jess Abbott,Portsmouth,singer,-5.0,21:00:00
1574,"Wednesday, March 5, 1913",Dirty Data,33 N 35,92 W 24,Gangubai Hangal,Hangal,singer,5.5,12:00:00
1575,"Friday, January 4, 1957",Dirty Data,6 S 8,35 E 45,Gurdas Maan,Muktsar,singer,5.5,00:00:00
1576,"Tuesday, December 16, 1986",Dirty Data,53 N 47,1 W 45,Harshdeep Kaur,Delhi,singer,5.5,00:00:00
1577,"Thursday, November 27, 1952",Dirty Data,35 N 7,117 W 59,Bappi Lahiri,Jalpaiguri,singer,5.5,00:00:00
1578,"Wednesday, July 29, 1953",Kundli Sangraha (Tendulkar),52 N 30,1 W 50,Anup Jalota,Nainital,singer,5.5,18:00:00
1579,"Thursday, May 17, 1951",Unknown,39 N 19,120 W 59,Pankaj Udhas,Jetpur,singer,5.5,12:00:00
1580,"Wednesday, February 22, 1967",Dirty Data,28 N 59,77 E 1,Malini Awasthi,Kannauj,singer,5.5,00:00:00
1581,"Saturday, February 20, 1954",Dirty Data,40 N 33,75 W 49,Abida Parveen,Larkana,singer,5.0,00:00:00
1582,"Wednesday, September 16, 1992",Dirty Data,51 N 30,0 W 5,Nick Jonas,Dallas,singer,-5.0,00:00:00
1583,"Thursday, September 05, 1946",Dirty Data,43 N 13,77 W 17,Freddie Mercury,Dodoma,singer,3.0,00:00:00
1584,"Tuesday, January 12, 1993",Dirty Data,40 N 21,80 W 37,Zayn Malik,Bradford,singer,0.0,00:00:00
1585,"Tuesday, April 06, 1937",Dirty Data,51 N 29,3 W 13,Merle Haggard,California,singer,-5.0,00:00:00
1586,"Tuesday, February 01, 1994",Dirty Data,40 N 35,74 W 9,Harry Styles,Redditch,singer,0.0,00:00:00
1587,"Sunday, April 12, 1987",Dirty Data,40 N 42,74 W 0,Brendon Urie,Nevada,singer,-5.0,00:00:00
1588,"Monday, July 10, 1995",Dirty Data,26 N 55,75 E 52,Harshita Dahiya,Sonipat,singer,5.5,00:00:00
1589,"Wednesday, December 13, 1989",Web,42 N 58,81 W 15,Taylor Swift,"Reading, Pennsylvania, US",singer,-5.0,00:00:00
1590,"Thursday, May 05, 1988",Web,55 N 59,4 W 12,Adele,London,singer,0.0,00:00:00
1591,"Friday, February 16, 1990",Web,26 N 51,80 E 54,The Weeknd,"Toronto, CAN",singer,-5.0,00:00:00
1592,"Tuesday, May 07, 1968",Internet,40 N 43,74 W 9,Traci Lords,"80 W 37, 40 N 21",singer,-5.0,17:19:00
1593,"Friday, January 08, 1937",Web,34 N 3,118 W 14,Shirley Bassey,Cardiff,singer,0.0,09:00:00
1594,"Thursday, December 18, 1980",Web,31 N 37,91 W 32,Christina Aguilera,Staten Island,singer,-5.0,10:46:00
1595,"Saturday, January 18, 1913",Kundli Sangraha (Tendulkar),38 N 25,122 W 43,Danny Kaye,New york,singer,-5.0,05:30:00
1596,"Sunday, December 14, 1980",Unknown,16 N 59,82 E 20,Juhi Parmar,Rajsthan,singer,5.5,12:00:00
1597,"Tuesday, March 01, 1994",Unknown,39 N 17,76 W 36,Justin Bieber,London,singer,-5.0,12:56:00
1598,"Wednesday, November 03, 1948",Unknown,31 N 32,74 E 22,Lulu Kennedy,"4 W 12, 55 N 59",singer,0.0,01:30:00
1599,"Monday, October 14, 1940",Unknown,38 N 7,13 E 22,Cliff Richard,"80 E 54, 26 N 51",singer,5.5,18:00:00
1600,"Monday, October 13, 1941",Unknown,32 N 17,90 W 10,Paul Simon,"74 W 9, 40 N 43",singer,-5.0,02:33:00
1601,"Monday, September 30, 1974",Internet,41 N 52,87 W 39,Ashley Hamilton,"118 W 14, 34 N 3",singer,-8.0,19:14:00
1602,"Sunday, September 29, 1935",Unknown,28 N 36,77 E 12,Jerry Lee Lewis,"91 W 32, 31 N 37",singer,-6.0,15:00:00
1603,"Sunday, September 26, 1926",Internet,21 N 49,76 E 23,Julie London,"122 W 43, 38 N 25",singer,-8.0,18:00:00
1604,"Monday, September 22, 1930",Unknown,31 N 30,73 E 5,P. B. Sreenivas,Kakinada,singer,5.5,12:00:00
1605,"Friday, September 19, 1941",Web,26 N 12,78 E 9,Cass Elliot,Baltimore,singer,-5.0,21:00:00
1606,"Monday, November 25, 1929",Unknown,28 N 24,77 E 18,Surinder Kaur,Lahore,singer,5.0,12:00:00
1607,"Wednesday, September 08, 1943",Internet,31 N 35,74 E 56,Christian,"13 E 22, 38 N 7",singer,1.0,16:00:00
1608,"Saturday, August 28, 1982",Internet,31 N 19,75 E 34,Leann Rimes,"90 W 10, 32 N 17",singer,-6.0,17:44:59
1609,"Saturday, August 28, 1943",Internet,28 N 36,77 E 12,David Soul,"87 W 39, 41 N 52",singer,-6.0,02:54:59
1610,"Friday, August 23, 1968",Unknown,22 N 42,75 E 54,Krishnakumar Kunnath,New Delhi,singer,5.5,12:00:00
1611,"Saturday, September 30, 1972",Unknown,24 N 11,88 E 19,Shaan,Khandwa,singer,5.5,12:00:00
1612,"Sunday, December 09, 1973",Unknown,24 N 6,88 E 18,Rahat Fateh Ali Khan,Faisalabad,singer,5.0,12:00:00
1613,"Sunday, September 07, 1980",Unknown,25 N 37,85 E 12,Mamta Sharma,Gwalior,singer,5.5,12:00:00
1614,"Monday, July 30, 1973",Unknown,29 N 46,95 W 21,Sonu Nigam,Faridabad,singer,5.5,12:00:00
1615,"Sunday, July 18, 1971",Unknown,31 N 32,74 E 22,Sukhwinder Singh,Amritsar,singer,5.5,12:00:00
1616,"Friday, January 06, 1984",Unknown,24 N 47,87 E 44,Diljit Dosanjh,Jalandhar *,singer,5.5,12:00:00
1617,"Sunday, August 14, 1983",Unknown,51 N 46,0 W 35,Sunidhi Chauhan,New Delhi,singer,5.5,12:00:00
1618,"Monday, March 30, 1992",Unknown,6 S 9,106 E 49,Palak Muchhal,Indore,singer,5.5,12:00:00
1619,"Saturday, April 25, 1987",Unknown,41 N 52,87 W 39,Arijit Singh,Murshidabad,singer,5.5,12:00:00
1620,"Monday, March 12, 1984",Unknown,16 N 20,80 E 27,Shreya Ghoshal,Baharampur,singer,5.5,12:00:00
1621,"Friday, August 18, 1967",Unknown,28 N 39,77 E 13,Daler Mehndi,Patna,singer,5.5,12:00:00
1622,"Sunday, August 21, 1938",Internet,28 N 2,79 E 7,Kenny Rogers,"95 W 21, 29 N 46",singer,-6.0,11:28:59
1623,"Wednesday, August 08, 1973",Unknown,49 N 18,21 E 34,Javed Bashir,Lahore,singer,5.0,12:00:00
1624,"Friday, June 10, 1977",Unknown,40 N 59,74 W 1,Mika Singh,Durgapur,singer,5.5,12:00:00
